en,ar,category
psychomotor energy,طَاقَة نَفْسِيّة حَرَكِيَّة,Psychiatry and Psychology
psychomotor learning,تَعَلُّم نَفْسِيّ حَرَكِيّ,Psychiatry and Psychology
psychoneuroimmunology,عِلْمُ المَناعَةِ العَصَبِيَّة النَفْسِيّة,Psychiatry and Psychology
psychooncology,عِلْمُ الأَوْرَام النَّفْسِي,Psychiatry and Psychology
psycho-organic,نفسية عضوية,Common entries
psychopathologist,اخْتِصَاصِيّ نَفْسِيّ,Psychiatry and Psychology
psychopharmaceutical,صَيْدَلانِيّ نَفْسِي,Psychiatry and Psychology
psychopharmacologist,صيدلاني نفسي,Common entries
psychophysical preparation for childbirth,تَحْضِير نَفْسِيّ اجْتِمَاعِيّ للوِلادَة,Psychiatry and Psychology
psychophysiological,فيزيولوجي نفسي,Common entries
psychoprophylactic preparation for childbirth,إِعْدَاد وقائيّ نَفْسِيّ للوِلادَة,Psychiatry and Psychology
psychorelaxation,اسْتِرخَاء نَفْسِيّ,Psychiatry and Psychology
psychosexual disorder,اضْطِرَاب نَفْسِي جِنْسِيّ,Psychiatry and Psychology
psychosocial adjustment: life change,اضْطِراب تَلاؤُم نَفْسِيّ اجْتِماعِيّ: تَبَدُّل الحَيَاة,Psychiatry and Psychology
psychosocial assessment,تَقْييم نَفْسِيّ اجْتِماعِيّ,Psychiatry and Psychology
psychosocial disabilities,إعاقات نفسية اجتماعية,Rehabilitation
psychosocial epidemiology,الوبائيات النفسية الاجتماعية,Biostatistics
psychosocial epidemiology,الوبائيات الاجتماعية النفسية,Biostatistics
psychosocial skills,مهارات نفسية واجتماعية,Rehabilitation
psychosomatic approach,مُقَارَبَة نَفْسِيّة جَسَدِيَّة,Psychiatry and Psychology
psychosomatic medicine,الطِّبُّ النَّفْسي الجِسْمِيُّ,Forensic medicine
psychosomatic pain,أَلَم نَفْسِيّ جَسَدِيّ,Psychiatry and Psychology
psychosomatogenic,نَفْسِيّ وجَسَدِيّ المَنْشَأ,Psychiatry and Psychology
psychosyndrome,متلازمة نفسية,Common entries
psychotherapeutic drugs,أَدْوِيَة المُعالَجَةُ النَفْسِيّة,Psychiatry and Psychology
psychotherapist,مُعَالِج نَفْسِي,Psychiatry and Psychology
psychotic break,انفصال نفسي,Psychiatry and Psychology
psychotic insight,البَصيرَة الذُّهَانِيَّة,Psychiatry and Psychology
psychotropic drugs,أَدْوِيَة نَفْسَانِيَّة التَأثِير,Psychiatry and Psychology
psyllium husk,قِشْرَة القَطُوناء,Nutrition and dietetics
psychologism,رؤية نفسية,Psychiatry and Psychology
pulmonary hypertension,فرط التوتر الرئويّ,Cardiology and cadiovascular surgery
puberulic acid,حَمْض البيُوبرِيُولِيك,Biochemistry and Chemistry
public health agency,وكالة للصحة العامة,Infectious diseases
public health authorities,سُلْطات الصِّحَّةِ العُمومِيَّة,Public health
public health events of national concern,حدث هام وطنيًّا في الصحة العامة,Infectious diseases
public health impact assessment,تقييم تأثير الصحة العمومية,Biostatistics
public health medicine,طب الصحة العمومية,Biostatistics
public health nursing,تَمْريضُ الصِّحَّةِ اُلعمُوْمِيَّة,"Nursing, midwifery and tocology"
public health response,استجابة الصحة العمومية,Common entries
public health risk,خطر على الصحة العامة، خطر محدق بالصحة العامة,Infectious diseases
public sector,قَطَّاع عام,Health services
public accessibility,إتاحة للعموم,Common entries
publication bias,تحيز النشر,Biostatistics
publicly expresses gender,جندر مُعْلَن,sexology
publish or perish,إما النشر وإما الهلاك,Common entries
pubocervical ligament,رِبَاط عَانِيّ عُنْقِي,Anatomy
pubococcygeus exercises,تَمَارِين عَانِيَّة عُصْعُصِيَّة,Rehabilitation
pubovaginal sling,حَمَّالة عانِيّة مَهْبِلِيّة,Common entries
puerilism,صِبْيَانِيّة,Common entries
puff,نَفخة,Diagnostics(symptoms&signs)
puffer fish,سَمَكَة اليَنْفُوخ,Zoology
pulmonary alveolar microlithiasis,تَحَصٍّ رئوي دقيق,Diagnostics(symptoms&signs)
pulmonary angiography,تَصْويرُ الأَوعِيَة الرِّئَوِيَّة,"Chest, pulmonary and cardiothoratic surgery"
pulmonary arterial hypertension,ارتفاع الضغط في الشرايين الرئوية,Common entries
pulmonary arteriolar resistance (PAR),المُقَاوَمَة الشَّرْيَانِيَّة الرِّئَوِيَّة,"Chest, pulmonary and cardiothoratic surgery"
pulmonary artery (PA),الشِّرْيانُ الرِّئَوِيّ,"Chest, pulmonary and cardiothoratic surgery"
pulmonary artery catheter,قِثْطار الشِّرْيانُ الرِّئَوِيّ,"Chest, pulmonary and cardiothoratic surgery"
pulmonary auscultation,تسَمُّع الرئة,"Chest, pulmonary and cardiothoratic surgery"
pulmonary barotrauma,رضح ضغطي في الرئتين,Common entries
pulmonary candidiasis,داءُ الشَّعارِيَّاتِ الرِّئَوِيّ,"Chest, pulmonary and cardiothoratic surgery"
pulmonary circulation,الدَّوَرانُ الرِّئَوِيّ,"Chest, pulmonary and cardiothoratic surgery"
pulmonary compromise,ضعف الرئة,"Chest, pulmonary and cardiothoratic surgery"
pulmonary disease,مَرَض رِئَوِي,"Chest, pulmonary and cardiothoratic surgery"
pulmonary dysmaturity syndrome,مُتَلاَزِمَةُ خلل نُضْجِ الرِّئَة,"Chest, pulmonary and cardiothoratic surgery"
pulmonary function laboratory,مُخْتَبَر وظَائِف الرِّئَة,"Chest, pulmonary and cardiothoratic surgery"
pulmonary function test (PFT),اختبارُ وظائف الرئَة,"Chest, pulmonary and cardiothoratic surgery"
pulmonary groove,تَلَم رِئَوِيّ,"Chest, pulmonary and cardiothoratic surgery"
pulmonary infiltrate,ارتشاح في الرئة,Oncology
pulmonary infiltrate with eosinophilia,ارتشاح مع كثرة الأيوزينيات في الرئة,"Chest, pulmonary and cardiothoratic surgery"
pulmonary infiltrate with eosinophilia (PIE),رَشاحَة رِئَوِيَّة باليُوزينِيَّات,"Chest, pulmonary and cardiothoratic surgery"
pulmonary nodule,عُقَيْدة رئوية,Common entries
pulmonary oxygen toxicity,تَسَمُّم الرِّئَة بالأُكْسِجِين,"Chest, pulmonary and cardiothoratic surgery"
pulmonary regurgitation,ارتجاع في الصمام الرئوي,Common entries
pulmonary renal syndrome,مُتلازِمَة رِئَوِيَّة كُلَوِيَّة,"Chest, pulmonary and cardiothoratic surgery"
pulmonary valve,الصِّمامِ الرِّئَوِيّ,"Chest, pulmonary and cardiothoratic surgery"
pulmonary vascular resistance,مقاومة الأوعية الرئوية,"Chest, pulmonary and cardiothoratic surgery"
pulmonary vascular resistance (PVR),مُقاوَمَةٌ الأوعيَة الرِّئَوِيَّة,"Chest, pulmonary and cardiothoratic surgery"
pulmonary vein,وَرِيد رِئَوِي,"Chest, pulmonary and cardiothoratic surgery"
pulmonary wedge pressure (PWP),الضَّغْطُ الإِسْفِيْنِيُّ الرِّئَوِي,"Chest, pulmonary and cardiothoratic surgery"
pulmonary Wegener’s granulomatosis,وُرامٌ حُبَيبِيٌّ وِيغْنِرِيّ رِئَويّ,"Chest, pulmonary and cardiothoratic surgery"
pulpaceous,لُبِّيّ,Common entries
pulpitis,التِهاب اللُّبِّ,"Taxonomy, nosology and classification"
pulsatile assist device (PAD),جِهَاز نبضيّ مُسَاعِد,Cardiology and cadiovascular surgery
pulsatility index,مَنْسَب النَّبْض,Cardiology and cadiovascular surgery
pulse height analyzer,جهاز تحليل ارْتِفَاع النَّبْض,Physiatrics and physical medicine
pulse MR,رَنِين مَغنَاطِيسِي نَبْضِيّ,Physiatrics and physical medicine
pulse oximeter,مقياس الأكسجين والنبض,Common entries
pulse oximeter,مِقْياسُ التَّأَكْسُج النَّبْضِيّ,Physiatrics and physical medicine
pulse oximeter,مقياس النبض والأكسجين,Anesthesiology
pulse point,نُقْطَة جَسِّ النَّبْض,Physiatrics and physical medicine
pulse polarography,مخطط قطبي للنبض,Common entries
pulse rate,سُرْعَةُ النَّبْض,Physiatrics and physical medicine
pulse repetition frequency,تواتر إعادة النبضان,Cardiology and cadiovascular surgery
pulse repetition frequency (PRF),تَرَدُّد تِكْرَار النَّبْض,Physiatrics and physical medicine
pulse sequence,مُتَتالِيَّة نَبْضِيَّة,Physiatrics and physical medicine
pulsed Doppler,دُوبلَر نَبضِيّ,Radiology and diagnostic technology
pulsed laser,لِيزر نَبْضِي,Physiatrics and physical medicine
pulsed radio frequency,التواتر النبضي الراديوي,Common entries
pulse-echo response profile,مُرْتَسَم اسْتِجَابة النَّبض-الصَدَى,Physiatrics and physical medicine
pulse-echo ultrasound,فَوق الصَّوت النَّبْض- الصَدَى,Physiatrics and physical medicine
pulseless electrical activity,نشاط كهربي دون نبضان,Cardiology and cadiovascular surgery
pulseless electrical activity (PEA),نَشَاط كَهْرَبِيّ بلا نَبْض,Physiatrics and physical medicine
pulser,مُثِير النَّبْض,Physiatrics and physical medicine
pulvule,بولفول,Common entries
pump bulb,مضخة بصلية الشكل,Anesthesiology
punch forceps,المِلقط الخارِم,Surgery
punch forceps,مِلْقَطُ التثقيب,Surgery
punch marking,علامة ثقبية,Rehabilitation
punchdrunk syndrome,مُتَلازِمَة المُلاكمة,Neurology
punctal,نقطيّ,Common entries
punctal occlusion,غلق النقطة الدمعية,Common entries
punctal occlusion,انغلاق نقطي,Pathology
punctal plug,سدادة النقطة الدمعية,Common entries
punctal stenosis,تضييق النقطة الدمعية,Common entries
punctate,مُنَقَّط,Common entries
punctiform,نُقْطِيُّ الشَّكْل,Common entries
punctum,نُقطَة,Physiatrics and physical medicine
puncture of the antrum,ثَقْبُ الغَار,Anatomy
pupil diameter,قطر الحدقة,Ophthalmology and optics
pupil dilation,توسُّع الحدقة,Ophthalmology and optics
pupillary distance,المسافة بين الحدقتين,Ophthalmology and optics
pupillary ruff,الطَّوْق الحَدَقِيّ,Common entries
pupillary seclusion,التصاقات الحدقة,Common entries
pupils equal,حدقتان متساويتان,Ophthalmology and optics
pupils react to accommodation,حدقتان متفاعلتان للمطابقة,Ophthalmology and optics
pupils react to light,حدقتان متفاعلتان للضوء,Ophthalmology and optics
pupils round,حدقتان مستديرتان,Ophthalmology and optics
pure neuritis,التهاب عصب صرف,Common entries
purine-low diet,نِظامٌ غِذائِيٌّ مُنخَفِض البُورين,Nutrition and dietetics
purinergic,بيوريني الفعل,Common entries
purpose-built for the office,بنيت خصيصاً للمكتب,Anthropology and anthropometrics
purposeful activity,فَعَّالِيَة قَصْدِيَّة,Common entries
purposive sampling,اعتيان قصديّ,Biostatistics
pursed,مغلق,Common entries
pursed-lip breathing,تَنَفُّس بشَفَتِين مَرصُوصَتَين,Common entries
purulent diarrhea,اسْهَال قَيْحِيّ,Gastroenterology
pus in urine,قَيْح في البُول,Nephrology
push off,توقف الدفع,Rehabilitation
pzi,بروتامين زنك إنسولين,"Taxonomy, nosology and classification"
qt (=quart),رمز الكوارْت,
quack,البطيطة,Common entries
quad cane,عَصا رُباعِيَّةُ القَوائِم,Common entries
quad coughing,سُعالٌ بالمُساعَدَة,Common entries
quadrangular bandage,ضِمادَ مُرَبَّع,Common entries
quadrant streak,ثَلَمٌ رُبْعيّ,Common entries
quadrantectomy,اِسْتِئْصالُ رُبْع الثَّدْي,Surgery
quadriceps femoris,العَضَلَةُ الرُّباعِيَّةُ الرُّؤوسِ الفَخِذِيَّة,Anatomy
quadrigeminal plate,صفيحة رباعية التوائم,Common entries
quadrilateral socket,تَجْويْفٌ مُرَبَّع,Rehabilitation
quadripod stick,عصا رباعية القدام,Common entries
quadruplet pregnancy,حمل بأربعة توائم,Obstetrics and gynecology
quadrupole mass filter,مُرَشِّحٌ رُباعيُّ الأَقْطاب للكُتل,Physiatrics and physical medicine
quagga,الكواغة,Zoology
quale,جودة,Common entries
qualified,مُؤَهَّل,Health services
qualitative,نَوْعِيّ,Common entries
qualitative analysis,تَحْليلٌ نَوْعِيّ,Biochemistry and Chemistry
qualitative clinical study,دراسة سريرية نوعية,Biostatistics
qualitative data,مُعْطَياتٌ نَوْعِيَّة,Biostatistics
qualitative melanin test,الاِخْتِبارُ النَوْعِيّ للميلانين,Common entries
qualitative research,البحوث الكيفية,Biostatistics
qualitative test,اختبار كَيْفي أو نوعى,Measures
quality assessment measures,إجراءات تَقْييم الجَوْدَة,Common entries
quality assessment system,نظام تقييم الجودة,Biostatistics
quality control,ضبط الجودة,Biostatistics
quality management,إِدارةُ الجَوْدَة,Common entries
quality monitoring,مراقبة الجَوْدَة,Common entries
quality of care,جودة الرعاية,Biostatistics
quality of life,جودة الحياة,WHO managerial terms
quality of life,نَوْعِيَّةُ الحَيَاة,Biostatistics
quality of life index,منسب جودة الحياة,Common entries
quality-adjusted life expectancy (QALE),مأمول الحياة المُصَحَّح وفق النَّوْعِيَّة,Biostatistics
quality-adjusted life years (QALYs),سنوات العمر المُصَحَّحة وفق جودة الحياة,Biostatistics
quantal effect,أثر كًمِّي,Biostatistics
quantiles,كَمَيَّاتٌ جُزّئيَّة,Biostatistics
quantitative ability,القُدْرَةُ الكَمِيَّة,Psychiatry and Psychology
quantitative computed tomography,تصوير مقطعي كمِّيّ بالحاسوب,Radiology and diagnostic technology
quantitative computed tomography,تصوير مقطعي مُحَوْسَب كَمِّيّ,Common entries
quantitative computed tomography (QCT),التَّصْويرُ المَقْطَعيُّ الكمِّيُّ المُحَوْسَب,Radiology and diagnostic technology
quantitative data,مَعْطَياتٌ كَمِيَّة,Biostatistics
quantitative measurements,قياسات كمية,Anthropology and anthropometrics
quantitative research,بحوث كَمِّيَّة,Common entries
quantitative ultrasound,تصوير كَمِّيّ فائِق الصَّوت,Physiatrics and physical medicine
quantitive variable,متغير كمّيّ في الدراسة السريرية,Biostatistics
quantum field theory,نظرية الحقل الكموميّ,Common entries
quantum libet,بالقدر المرغوب,Pharmaceutical preperations
quantum mechanics,آليات كمومية,Common entries
quantum vis,كما تريد,Pharmaceutical preperations
quaque die,كل يوم,Pharmaceutical preperations
quaque hora,كل ساعة,Pharmaceutical preperations
quaque octa hora,كل ثمان ساعات,Pharmaceutical preperations
quaque quarta hora,كل أربع ساعات,Pharmaceutical preperations
quaque secunda hora,كل ساعتين,Pharmaceutical preperations
quaque sex hora,كل ست ساعات,Pharmaceutical preperations
quaque tertia hora,كل ثلاث ساعات,Pharmaceutical preperations
quarantine,حَجْر صِحِّيّ,Biostatistics
quarantine act,قانون الحجر الصحي,Infectious diseases
quart,ربع,Measures
quartile deviation,انحراف ربعيّ,Measures
quartz crystal therapy,المُعالجةُ ببِلَّوْرات الكوارتز,"Traditional medicine, folk medicine"
quasi-experiment,تجربة جزئية,Biostatistics
quasi-experiment,تجربة غير كامِلَة، تجربة جزئية,Biostatistics
quasi-experimental,دراسة سريرية شبه اختبارية,Biostatistics
quasispecies,أَنْواعٌ مُتَشابهَة جُزْئياً,virology
quaternary ammonium derivative,مُشْتَقٌّ رُباعيُّ الأَمونيُوم,Biochemistry and Chemistry
queer gender identity,هوية جندرية اغترابية,sexology
queer identity,هوية اغترابية,sexology
queer orientation,توجُّه اغترابيّ,sexology
questionnaire,استبانة دراسة سريرية,Biostatistics
quetelet's index,مَنْسَب كويتيلة,Biostatistics
quetiapine,كويتِيَابين,Neurology
queueing theory,نَظَرِية الطَّوابيرْ، نظرية الانتظار,Biostatistics
quick and dirty method,طريقة سريعة وغير موثوقة (قذرة),Common entries
quick connect,وَصْلةٌ سَريعَة,Common entries
quick relievers,أدوية الراحة السريعة,"Chest, pulmonary and cardiothoratic surgery"
quiet alert,يَقِظٌ وهادِئ,Pediatrics
quill,عرق الريشة,Zoology
quinoidine,كينودين,Pharmacology and therapeutics
quintan,خِمْس,Common entries
quinupristin,كوينُوبريستين,Pharmaceutical preperations
quirk,هوس,Common entries
quitting,ترك,Common entries
quiver,رَجَفان,Common entries
quod vide,المظهر,Pharmaceutical preperations
quota sampling,اعِتَيان حُصَصِيّ,Biostatistics
quoties opus sit,كلما لزم الأمر,Pharmaceutical preperations
readiness for enhanced fluid balance,الاستعداد لتَعزِيز تَوازُنُ السَّوائِل,"Nursing, midwifery and tocology"
readiness for enhanced organized infant behavior,الاستعداد للسلوك الطفولي المنظم والمعزز,Behavioral medicine
reflex urinary incontinence,سَلَسُ البَوْلِ الاِنْعِكاسِيّ,"Nursing, midwifery and tocology"
redbody (redgland),الجسم الأحمر,Biology
risk for aspiration,خَطَرُ الاِسْتِنْشَاق,
risk for compromised human dignity,خَطَرُ الإِضْرارِ بالكرامَةِ الإِنْسانيَّة,
risk for disproportionate growth,خَطَرُ النموِّ غير المُتَناسِب,"Nursing, midwifery and tocology"
risk for impaired liver function,خَطَرُ اِختلال وَظائِف الكَبِد,Gastroenterology
risk for loneliness,خَطَرُ الشُّعُور بالوحدَة,Psychiatry and Psychology
risk for posttrauma syndrome,خَطَر التعرُّض للمُتَلازِمَة التَالِيَة للرَّضّ,"Nursing, midwifery and tocology"
risk for Powerlessness,خَطَر الضُعْف,"Nursing, midwifery and tocology"
risk for relocation stress syndrome,خطر الإصابة بمُتَلازِمَة تَوَتُّر الاِنْتِقال,"Nursing, midwifery and tocology"
risk for self-mutilation,خَطَرُ التَشْوِيه للذَاتِ,
rhabdomyoma,ورمُ العَضَلِ الـمخطَّط,Oncology
rhe,رِي,Measures
rhegmatogenous retinal detachment,انْفِصالُ الشَّبَكِيَّة التّمَزُّقِيّ,Ophthalmology and optics
rhenium,رينيوم,Biochemistry and Chemistry
rheoelectroencephalograph,مُخطَّطُ تَيَّارِ الدَّمِ الكَهْرَبِيّ,Neurology
rheoencephalogram,صُورَة الدِّمَاغ الكَهْرَبِيَّة,Neurology
rheogram,مخطَّطُ الجَرَيان,Common entries
rheometry,قِيَاس الجَرَيَان,Common entries
rhestocythemia,وجودُ خلايا الدم الحمراء المتكسِّرة في الدم,Hematology
rheumatoid arthritis latex test,اختبار اللاتكس في التهاب المفاصل الروماتويدي,Rheumatology
rheumatoid coronary arteritis,الْتِهابُ الشَّرَايِيْنِ التَّاجِيَّة الرُّوماتويديّ,Cardiology and cadiovascular surgery
rheumatoid factor (RF) test,اخْتِبَار العامِل الرُّوماتويديّ,Rheumatology
rho,رو,Common entries
rhoencephalography,تخطيطُ المعاوقة الدماغيَّة,Neurology
rhomboidal sinus,الجَيْب المُعَيَّنِيّ,Anatomy
rhomboideus major,العَضَلَةُ المُعَيَّنِيَّةُ الكَبيرَة,Anatomy
rhomboideus minor,العَضَلَةُ المُعَيَّنِيَّةُ الصَّغِيرَة,Anatomy
rhythm method,طَرِيقَة النَّظْم,Common entries
rhytidectomy,شذُ الجلد,Common entries
"rxn, RXN",رَمْز تفاعل دَوَائِيّ.,Abbreviations
sociology of epidemiology,وبائيات علم الاجتماع,Biostatistics
smack,هِيروين,
small amount,كمية ضئيلة,Common entries
small bowel,الأمعاء الدقيقة,Common entries
small bowel follow-through (SBF) test,اخْتِبَار المُتَابَعَة عَبْر الأَمْعَاء الدَّقِيقَة,
small box,صندوق صغير,Common entries
small box concept,مفهوم الصندوق الصغير,Common entries
small for dates,صغير نسبة لعمر الحمل,Obstetrics and gynecology
small for gestational age,صغير نسبة لعمر الحمل,Obstetrics and gynecology
small for gestational age (SGA) infant,رَضِيع صَغِير بالنِّسْبَة لِعُمْر الحَمْل,
small saphenous vein,الوَرِيد الصَّافِن الصَّغِير,
small sciatic nerve,العَصَبُ الوَرِكِيُّ الصَّغير,
smallest cardiac vein,الأَورِدَةُ القَلْبِيَّة الأَصْغَر,
small-for-dates,جنين صغير- نسبة- لتاريخ الحمل,"Taxonomy, nosology and classification"
smallpox vaccine,لِقاح الجُدَرِيّ,
smallpox virus,فَيْروس الجُدَرِيّ,
smear infection,عدوى اللطخة,Common entries
smog,ضَبابٌ َدُخانيّ,
smokeless tobacco,تَبْغ بِلادُخَان,
smoking cessation assistance,المساعدة على الإقلاع عن التدخين,
smoking cessation behavior,سُلُوك الإقلاع عَن التَّدْخِين,
smooth chorion,المَشيماء المَلْسَاء,
smooth muscle relaxant,مُرْخٍ للعَضَلات المَلْسَاء,
smooth pursuit eye movement,حَرَكَة عَيْن تَتَبُعِيَة نَاعِمَة,
smooth surface cavity,جَوْف أَمْلَس السَّطْح,
smoothing,تنعيم,Rehabilitation
smudge cell,خَليّة لَطْخِيَّة,
slander,تَشْهِير,
slant of occlusal plane,مَمَال المُسْتَوَى الإِطْباقِيّ,
slaughterhouse,مسلخ,Common entries
sled,زلاجة للتزحلق,"Taxonomy, nosology and classification"
sleep deprivation,حِرْمان من النَّوم,
sleep enhancement,تَعْزِيز النَّوْم,
sleep rhythm,نظم النوم,Common entries
sleep studies,دِرَاسَات النَّوْم,
sleep terror disorder,اضْطِراب الرُّعْب النَّوْمِيّ,
sleep terrors,الفَزْعَاتُ أَثْنَاءَ النَوْم,Psychiatry and Psychology
sleep-eze,سليب-إيز,"Taxonomy, nosology and classification"
sleeping sickness,داء النوم,Neurology
sleep-wake schedule disorder,اضْطِرَاب مَواعِيد النَّوم-اليَقَظَة,
sleeve flap,ثنيات الأكمام,Surgery
sleeve suspension,تعليق الكُمّ,Rehabilitation
slender,نحيل,Common entries
slice sensitivity profile,برُوفايل حَسَاسِيَّة الشَّرِيحَة,
slide adapter,لؤمة انزلاقية,Rehabilitation
slide clamp,مِلْقط التزليق,
slide forceps,مِلْقَطُ الشَرَائِح,Laboratory medicine
slide tracheoplasty,رَأْبُ الرُّغامَى التزليقيّ,
sliding esophageal hiatal hernia,فَتْقٌ حِجَابِي مَرِيئِي انْزِلاقِي,
sliding filaments,خُيُوط انْزِلاقِيَّة,
sliding hiatal hernia,فَتْقٌ حِجَابِيّ انْزِلاقِيّ,
sliding microtome,مِقْطاعٌ انزلاقي,Laboratory medicine
sliding transfer,تَحَرُّك انْزِلاقِي,
slim disease,داءُ الإِنْهاك,Infectious diseases
slime mold,عفن لَزِج,Common entries
sling restraint,مُثَبِّت حَمَّال,
slip-on blood pump,مِضَخَّة دَم دافعة,
slipped femoral epiphysis,مُشاشَة فَخِذِيَّة مُنْزَلِقَة,
slit diaphragm,حِجَاب الشِّقّ,
slit scan radiography,تَصْويرٌ شُعَاعِي بالمسح الشِقِيّ,
slit skin,شق في الجلد,Common entries
slit-lamp microscope,مِجْهَرُ المِصْبَاحِ الشِّقِّيّ,
slit-ventricle syndrome,مُتَلازِمَة البُطَيْن الشِقِيّ,
sloe,برقوق السياج,"Taxonomy, nosology and classification"
sloppy,رطب,Common entries
slow channel,قَنَاة بَطِيئَة,
slow diastolic depolarization,زَوالُ الاسْتِقْطاب الانْبِسَاطِي البَطْيْء,
slow pain,أَلَم بَطِيء,
slow stroking,تَمْسِيد بَطِيء,
slow vestibular stimulation,تَنْبِيه دِهْلِيزِي بَطِيء,
slowly progressive disease,مرض بطيء التفاقم,Common entries
slow-reacting substance of anaphylaxis,تأق التفاعل البطيء لمادة,Dermatology
slow-reacting substance of anaphylaxis (SRS-A),مَادَّة التحسس الفوري البَطِيئَة التَّفَاعُل,
slow-response action potential,جُهْدُ الفِعْل البَطِيء الاسْتِجَابَة,
slows reaction time,زمن التفاعل البطيء,Common entries
slow-twitch,نفضات بطيئة,Neurology
slow-twitch (ST) fiber,لِيف نَفْضيّ بَطِيء,
slow-wave,موجة بطيئة,Common entries
slow-wave activity,نشاط بطيء الموجة,Common entries
slur,شتيمة,sexology
sleeve gastrectomy,تكميم المعدة,Surgery
sluice room,غرفة التصريف,"Nursing, midwifery and tocology"
skateboard,لوح التزلج,"Taxonomy, nosology and classification"
skeletal deformity,تَشَوُّه هيكلي,Rehabilitation
skeletal fluorosis,التَّسَمُّمُ الهَيْكَلِي بالفلُور,
skeletal function,أَدَاء هَيْكَلِيّ,
skeletal survey,مَسْح هَيْكَلِيّ,
skeletal system,جِهَاز هَيْكَلِيّ,
skeleton,الهَيْكَل العظمي,
skepticism,التشكُّك,Common entries
skerljevo,سكيرلجيفو,"Taxonomy, nosology and classification"
skew flap,سديلة تجانُفية,Rehabilitation
skill play,لعب ماهر,
skilled nursing facility,مرفق التمريض الماهر,"Nursing, midwifery and tocology"
skills training,تَدريب المَهَارَات,
skim milk,لَبَنٌ مَقْشُودٌ,Nutrition and dietetics
skimming,اقتناص أفضل الفرص,
skimping,تغافل,
skin barrier,حَاجِز الجِلْد,
skin biology,بيولوجيا الجلد,Common entries
skin biopsy,خَزْعَة جلدية,Dermatology
skin biopsy punch forcep,مِلْقَطُ القَرْض للخَزْعَات الجلدية,Surgery
skin biopsy punch forceps,مِلقط خارِم للخزعات الجلدية,Surgery
skin button,بُرْعُم جِلْدِيّ,
skin cancer,سَرَطان الجِلْد,
skin care,رعاية الجلد,Rehabilitation
skin care: donor site,العِنَايَة بالجِلْد: مَوْقِع المُتبرِّع,
skin care: graft site,العِنَايَة بالجِلْد: مَوْقِع الطُّعْم,
skin care: topical treatments,العِنَايَة بالجِلْد: عِلاجَات مَوْضِعِيَّة,
skin glue,صمغ جلدي,Surgery
skin pigment,تَصَبُّغ جِلْدِيّ,
skin prep,تَحْضِير الجِلْد,
skin self-examination,فحص ذاتي للجلد,Dermatology
skin self-examination (SSE),الفَحْص الذَّاتِيّ للجِلْد,
skin substitute,بَدائل الجلد,
skin surveillance,تَرَصُّد الجِلْد,
skin turgor,مرونة الجِلْد,
skinfold calipers,فرجار ثنية الجلد,Anthropology and anthropometrics
skinfold thickness,سَمَاكَة ثَنْيَة الجِلْد,
skipper,الصوري,Biology
skis,زلاجات على الجليد,"Taxonomy, nosology and classification"
skull x-ray,تَصْوِير الجُمْجُمَة بالأَشِّعَّة السِّينِيَّة,
skullcap,قلنسوة الجمجمة,"Taxonomy, nosology and classification"
skin rash,طفح جلدي,Dermatology
squama,تَوَسُّف - صدفة,
squamocolumnar,حرشفي عمودي,Common entries
squamocolumnar junction,منطقة الوصلة التَوَسُّفية الأُسْطوَانِيّة,
squamous blepharitis,الْتِهابُ الجَفْنِ التَّوَسُّفِيّ,
squamous cell,خَليَّةٌ تَوَسُّفيَّة,
squamous epithelium simple,ظِهارَةٌ تَوَسُّفيَّةُ بَسِيطَة,
squamous epithelium stratified,ظِهارَةٌ تَوَسُّفيَّةُ مُطَبَّقة,
square inch,إنش مربع,Measures
square window,نَافِذَة مُرَبَّعة,
squatting position,وَضْعِيَّة القُرْفَصاء,
squeeze-film lubrication,عُصَارَة تَزْليِق الفِلْم,
squalene,سكوالين,
squama alveolaris,الصَّدَفَة السِّنْخِيَّة,
squama frontalis,صَدَفَة العَظْمِ الجَبْهِيّ,Anatomy
squama NA [pl.squamae],صَدَفَة,
squama occipitalis,صَدَفَة العَظْمِ القَذالِيّ,Anatomy
squama of frontal bone,صَدَفَة العَظْمِ الجَبْهِيّ,Anatomy
squama of temporal bone,صَدَفَة العَظْمِ الصُّدْغِيّ,Anatomy
squama temporalis,صَدَفَة العَظْمِ الصُّدْغِيّ,
squamae [sing.squama],صَدَفات,
squamate,حَرْشَفِيّ,
squamate,صَدَفِيّ,
squamatization,تَحَرْشُف,
squame,حَرْشَفَة,
squamocellular,حَرْشَفِيُّ الخَلاَيا,Dermatology
squamofrontal,صَدَفِيٌّ جَبْهِيّ,
squamoid,حَرْشَفِيُّ الشَّكل,
squamoid,شَبِيْهٌ بالصَّدفَة,
squamomandibular,صَدَفِيٌّ فَكّ سُفْلِيّ,
squamomastoid,صَدَفِيٌّ خُشَّائِيّ,
squamo-occipital,صَدَفِيٌّ قَذالِيّ,
squamo-occipital bone,العَظْمُ الصَّدَفِيُّ القَذالِيّ,Anatomy
squamoparietal,صَدَفِيٌّ جِدارِيّ,
squamoparietal suture,الدَّرْزُ الصَّدَفِيُّ الجِدارِيّ,
squamopetrosal,صَدَفِيٌّ صَخْرِيّ,
squamosa,حَرْشَفِيّ,
squamosa,صَدَفِيّ,
squamosal,حَرْشَفِيّ,
squamosal,صَدَفِيّ,
squamosal,وَسْفِيّ,
